Location,Item,Description,QTY,suffix (for programming,Vendor,Part #,Other,Packed
Yellow Rolling Cabinet B- Top Drawer,,,,,,,,FALSE
,,Rivet Gun - (Marson),1,,Marson 39000 HP-2 Professional Hand Riveter,,,FALSE
,T handle Stubby Hex Key,"5/32"" (Single Blue)",2,,,,,FALSE
,,"1/8"" (Double Blue)",2,,,,,FALSE
,T handle Long Hex Key,"5/32"" (Single Blue)",1,,,,,FALSE
,,"1/8"" (Double Blue)",1,,,,,FALSE
,High Torque Ball End Hex Key,"5/32"" (Single Blue)",2,,,,,FALSE
,,"1/8"" (Double Blue)",2,,,,,FALSE
,"Hex Bit with  1/4"" Hex Shank for power tools","5/32"" (Single Blue)",3,,,,,FALSE
,,"1/8"" (Double Blue)",3,,,,,FALSE
,Nut Driver,"3/8"" (Blue) - Klein",2,,,,,FALSE
,Combination Wrench - 12 Point,"3/8"" (Blue) - Craftsman",1,,,,,FALSE
,Ratcheting Combination Wrench - 12 Point,"3/8"" (Blue) - Gear Wrench",1,,,,,FALSE
,Nut Driver Bit,"3/8"" (Blue)",1,,,,,FALSE
,Retaining Ring Pliers,Straight Tip,1,,,,,FALSE
,,45 Degree Tip,1,,,,,FALSE
,,,,,,,,FALSE
,Pliers,Klein Long Needle Nose Pliers,1,,,,,FALSE
,,Tekton Mini Needle Nose Pliers,1,,TEKTON Mini Needle Nose Pliers (Serrated Jaw) | PMN01001,,,FALSE
,,Klein Diagonal Cutting Pliers,1,,"Klein Tools D275-5 Pliers, Diagonal Cutting Pliers with Precision Flush Cutter",,,FALSE
,Wire Stripper,Klein Wire Stripper,1,,Klein Tools - 11055KLE 11055 Wire Cutter and Wire Stripper,,,FALSE
,Torx Screwdriver,T10,1,,,,,FALSE
,,T8,1,,,,,FALSE
,Torx T-Handle Driver,T10,1,,,,,FALSE
,,T8,1,,,,,FALSE
,Cleco,Cleco Pliers,1,,,,,FALSE
Top Drawer - 3D-Printed Sorter,,,,,,,,FALSE
,#10-32 Lock Nut,#10-32 Nylon Insert Lock Nut Thin,8,,WCP-0325,,,FALSE
,Retaining Rings,"External Retaining Ring for 1/2"" OD",12,,WCP-0229,,,FALSE
,Washer - Steel,"0.625""OD - 0.203"" ID (#10 screw)",8,,90618A124,,,FALSE
,#10-32 Screw,"1/2"" Ultra-Wide Flanged Button Head Screw",4,,WCP-0571,,,FALSE
,#10-32 Screw,"#10-32 3/8"" Socket Head Cap Screw",4,,,,,FALSE
,#10-32 Screw,"#10-32 3/8"" Button Head Cap Screw",4,,,,,FALSE
,#10-32 Screw,"#10-32 1/2"" Socket Head Cap Screw",4,,,,,FALSE
,#10-32 Screw,"#10-32 1/2"" Button Head Cap Screw",4,,,,,FALSE
,#10-32 Screw,"#10-32 3/4"" Socket Head Cap Screw",4,,,,,FALSE
,#10-32 Screw,"#10-32 3/4"" Button Head Cap Screw",4,,,,,FALSE
,Rivets,"High Strength - 3/16"" Diameter, for 0.062""-0.27"" Thickness",6,,,,,FALSE
,Rivets,"High Strength - 3/16"" Diameter, for 0.062""-0.437"" Thickness",6,,,,,FALSE
,Drill Bit,"0.196"" Split Point Short",2,,2896A519,,,FALSE
Yellow Rolling Cabinet B - Large Drawer #1,,,,,,,,
,Soldering Iron,Milwaulkee Cordless Soldering Iron with Battery,1,,,,,TRUE
,Solder,Solder wire roll,1,,,,,TRUE
,Flux,Rosin Past Flux,1,,,,,FALSE
,Brass Sponge,Brass Sponge with Holder,1,,,,,TRUE
,Heat Gun,Milwaukee Cordless Heat Gun with Battery,1,,,,,TRUE
,Wire Stripper,Klein Wire Stripper 10 - 20 AWG,1,,,,,FALSE
,Large Diagonal Cutter,Klein Diagonal Cutting Multi-Purpose Pliers with Angled Head - 8 inch,1,,,,,FALSE
,Small Flush Cutter,Diagonal Cutting Pliers with Precision Flush Cutter - 5 inch,1,,,,,FALSE
,,,,,,,,
Yellow Rolling Cabinet B - Small Drawer #1,,,,,,,,
,CAN Wire,Twisted CANbus Wire with no attachments,25,feet,,,,TRUE
,10 AWG Wire,#10 AWG Zip Wire with no attachments,12,feet,,,,TRUE
,12 AWG Wire,#12 AWG Zip Wire with no attachments,12,feet,,,,TRUE
